CustomerID,Age,Gender,ItemPurchased,Category,PurchaseAmountUSD,Location,Size,Color,Season,ReviewRating,SubscriptionStatus,ShippingType,DiscountApplied,PromoCodeUsed,PreviousPurchases,PaymentMethod,FrequencyofPurchases
66,65,"Male","Backpack","Accessories",36,"New Jersey","M","Purple","Spring",4.8,"Yes","2-Day Shipping","Yes","Yes",44,"Venmo","Every 3 Months"
72,36,"Male","Dress","Clothing",48,"Virginia","L","Gold","Summer",2.9,"Yes","Express","Yes","Yes",34,"Bank Transfer","Annually"
75,49,"Male","Gloves","Accessories",58,"Indiana","L","Violet","Spring",4.5,"Yes","Express","Yes","Yes",3,"Cash","Monthly"
76,64,"Male","Scarf","Accessories",85,"Utah","M","Blue","Summer",2.7,"Yes","Free Shipping","Yes","Yes",21,"Credit Card","Annually"
81,19,"Male","Sandals","Footwear",72,"New York","XL","Blue","Summer",3.3,"Yes","Store Pickup","Yes","Yes",24,"Credit Card","Every 3 Months"
82,67,"Male","Shoes","Footwear",96,"Virginia","L","Maroon","Summer",2.6,"Yes","Express","Yes","Yes",36,"Credit Card","Every 3 Months"
86,53,"Male","Sunglasses","Accessories",95,"New Mexico","M","Charcoal","Winter",4.5,"Yes","Next Day Air","Yes","Yes",2,"Debit Card","Bi-Weekly"
90,47,"Male","Jacket","Outerwear",83,"California","XL","Pink","Fall",3.6,"Yes","Next Day Air","Yes","Yes",15,"Cash","Quarterly"
93,61,"Male","Jacket","Outerwear",87,"Texas","M","Olive","Winter",4.4,"Yes","2-Day Shipping","Yes","Yes",13,"Venmo","Every 3 Months"
96,37,"Male","Sneakers","Footwear",100,"Missouri","L","Pink","Fall",3.8,"Yes","Free Shipping","Yes","Yes",48,"PayPal","Monthly"
105,55,"Male","Sunglasses","Accessories",24,"New Hampshire","L","Pink","Spring",4.4,"Yes","2-Day Shipping","Yes","Yes",1,"PayPal","Monthly"
109,70,"Male","Socks","Clothing",79,"Montana","L","Purple","Spring",3.4,"Yes","Next Day Air","Yes","Yes",32,"Bank Transfer","Bi-Weekly"
110,58,"Male","T-shirt","Clothing",85,"Alabama","M","Violet","Spring",-3,"Yes","Next Day Air","Yes","Yes",43,"Bank Transfer","Fortnightly"
113,37,"Male","Gloves","Accessories",65,"Florida","M","Red","Spring",4.3,"Yes","Free Shipping","Yes","Yes",28,"PayPal","Bi-Weekly"
116,53,"Male","Skirt","Clothing",94,"Wyoming","M","Gray","Spring",3.8,"Yes","Standard","Yes","Yes",48,"Debit Card","Every 3 Months"
118,50,"Male","Sandals","Footwear",32,"South Dakota","L","Yellow","Summer",4.6,"Yes","Express","Yes","Yes",29,"Cash","Fortnightly"
119,50,"Male","Sweater","Clothing",45,"Kentucky","L","Orange","Fall",4.8,"Yes","2-Day Shipping","Yes","Yes",27,"Cash","Bi-Weekly"
120,38,"Male","Coat","Outerwear",76,"Wyoming","M","Orange","Fall",4.3,"Yes","Express","Yes","Yes",44,"Cash","Annually"
123,40,"Male","Backpack","Accessories",40,"Washington","L","Brown","Spring",4.8,"Yes","2-Day Shipping","Yes","Yes",44,"Cash","Fortnightly"
124,-57,"Male","Sweater","Clothing",89,"Louisiana","L","Brown","Fall",3.1,"Yes","Free Shipping","Yes","Yes",46,"Cash","Weekly"
127,43,"Male","Shorts","Clothing",36,"Mississippi","L","Pink","Spring",3.9,"Yes","Store Pickup","Yes","Yes",48,"Cash","Every 3 Months"
128,24,"Male","Sweater","Clothing",89,"Mississippi","M","Gray","Winter",4.8,"Yes","Next Day Air","Yes","Yes",26,"Credit Card","Weekly"
136,43,"Male","Sandals","Footwear",81,"Kansas","M","Purple","Fall",4.1,"Yes","Express","Yes","Yes",12,"PayPal","Quarterly"
138,68,"Male","Sneakers","Footwear",43,"Colorado","M","Turquoise","Spring",4.7,"Yes","Free Shipping","Yes","Yes",38,"PayPal","Weekly"
140,49,"Male","Coat","Outerwear",95,"Florida","M","White","Fall",3.8,"Yes","Store Pickup","Yes","Yes",30,"Venmo","Annually"
145,19,"Male","Shoes","Footwear",43,"New Jersey","M","Silver","Fall",3.2,"Yes","Express","Yes","Yes",25,"Cash","Monthly"
159,25,"Male","Shirt","Clothing",73,"Connecticut","XL","Teal","Fall",4.1,"Yes","Standard","Yes","Yes",50,"Bank Transfer","Monthly"
160,58,"Male","Gloves","Accessories",-761,"New Hampshire","M","Charcoal","Fall",3.8,"Yes","Store Pickup","Yes","Yes",39,"Bank Transfer","Every 3 Months"
162,65,"Male","Backpack","Accessories",49,"North Dakota","M","Olive","Fall",3,"Yes","Express","Yes","Yes",29,"Venmo","Fortnightly"
163,54,"Male","Sunglasses","Accessories",74,"California","M","Turquoise","Summer",3,"Yes","Store Pickup","Yes","Yes",31,"PayPal","Bi-Weekly"
165,59,"Male","Handbag","Accessories",65,"Delaware","S","Purple","Spring",2.6,"Yes","Free Shipping","Yes","Yes",5,"Credit Card","Fortnightly"
167,46,"Male","Sneakers","Footwear",31,"Delaware","XL","Indigo","Fall",4,"Yes","Store Pickup","Yes","Yes",30,"Cash","Monthly"
171,52,"Male","Shirt","Clothing",25,"Wyoming","M","Maroon","Fall",2.6,"Yes","Store Pickup","Yes","Yes",46,"Venmo","Bi-Weekly"
172,29,"Male","Shorts","Clothing",35,"Virginia","M","Blue","Summer",3.6,"Yes","Store Pickup","Yes","Yes",4,"Credit Card","Weekly"
176,53,"Male","Coat","Outerwear",86,"Oklahoma","L","Violet","Fall",2.8,"Yes","Next Day Air","Yes","Yes",2,"Bank Transfer","Annually"
177,53,"Male","Backpack","Accessories",81,"New Hampshire","L","Black","Spring",2.7,"Yes","Next Day Air","Yes","Yes",30,"Credit Card","Quarterly"
178,21,"Male","Hoodie","Clothing",42,"Kansas","L","Magenta","Fall",3.7,"Yes","Next Day Air","Yes","Yes",47,"Bank Transfer","Monthly"
179,61,"Male","Skirt","Clothing",43,"Idaho","L","Lavender","Fall",4.3,"Yes","2-Day Shipping","Yes","Yes",21,"PayPal","Quarterly"
181,51,"Male","Sandals","Footwear",81,"South Dakota","L","Green","Fall",3.3,"Yes","Store Pickup","Yes","Yes",12,"Debit Card","Fortnightly"
193,46,"Male","Shoes","Footwear",29,"Nebraska","L","Turquoise","Summer",2.9,"Yes","Express","Yes","Yes",12,"PayPal","Bi-Weekly"
194,36,"Male","Belt","Accessories",100,"North Dakota","S","Silver","Fall",3,"Yes","Standard","Yes","Yes",29,"Venmo","Annually"
200,54,"Male","Hat","Accessories",73,"Idaho","XL","Green","Summer",3.8,"Yes","Express","Yes","Yes",32,"Cash","Weekly"
201,25,"Male","Dress","Clothing",61,"Pennsylvania","S","Teal","Summer",3.3,"Yes","Next Day Air","Yes","Yes",29,"Venmo","Monthly"
206,67,"Male","Shirt","Clothing",64,"Hawaii","M","Silver","Winter",3,"Yes","Standard","Yes","Yes",25,"PayPal","Weekly"
207,24,"Male","T-shirt","Clothing",55,"Wisconsin","L","Silver","Summer",4.2,"Yes","Free Shipping","Yes","Yes",6,"Venmo","Fortnightly"
210,55,"Male","Sandals","Footwear",97,"Minnesota","S","Olive","Winter",3.2,"Yes","Store Pickup","Yes","Yes",44,"Cash","Every 3 Months"
220,32,"Male","Belt","Accessories",88,"Nevada","M","Cyan","Spring",3,"Yes","Free Shipping","Yes","Yes",12,"Cash","Fortnightly"
221,39,"Male","Sneakers","Footwear",57,"Arizona","S","Indigo","Spring",3.7,"Yes","Express","Yes","Yes",48,"Debit Card","Fortnightly"
226,25,"Male","Jacket","Outerwear",22,"Arkansas","M","Olive","Spring",3.2,"Yes","Next Day Air","Yes","Yes",11,"Bank Transfer","Annually"
229,18,"Male","Socks","Clothing",79,"New Hampshire","M","White","Spring",2.9,"Yes","Store Pickup","Yes","Yes",11,"Credit Card","Annually"
232,28,"Male","Blouse","Clothing",26,"Tennessee","M","Blue","Spring",3.1,"Yes","2-Day Shipping","Yes","Yes",18,"Debit Card","Every 3 Months"
235,20,"Male","Gloves","Accessories",39,"South Dakota","S","Silver","Summer",3.7,"Yes","Next Day Air","Yes","Yes",24,"Credit Card","Weekly"
237,38,"Male","Coat","Outerwear",68,"North Dakota","L","Green","Winter",3.4,"Yes","Next Day Air","Yes","Yes",39,"PayPal","Fortnightly"
238,50,"Male","Dress","Clothing",90,"Iowa","M","Beige","Summer",3,"Yes","Store Pickup","Yes","Yes",36,"Debit Card","Fortnightly"
240,49,"Male","Pants","Clothing",51,"Vermont","L","Yellow","Summer",2.9,"Yes","Express","Yes","Yes",47,"Credit Card","Bi-Weekly"
244,25,"Male","Jewelry","Accessories",100,"Kentucky","M","Olive","Winter",2.8,"Yes","2-Day Shipping","Yes","Yes",4,"Debit Card","Monthly"
247,35,"Male","Sunglasses","Accessories",86,"Nevada","XL","Beige","Spring",3.2,"Yes","Express","Yes","Yes",20,"Venmo","Bi-Weekly"
248,29,"Male","Sweater","Clothing",66,"Montana","XL","Brown","Spring",4.4,"Yes","Standard","Yes","Yes",14,"Debit Card","Weekly"
256,43,"Male","Scarf","Accessories",20,"Maryland","M","Charcoal","Spring",4.2,"Yes","Free Shipping","Yes","Yes",25,"Debit Card","Annually"
257,58,"Male","Jewelry","Accessories",30,"South Dakota","XL","Violet","Spring",4.7,"Yes","Express","Yes","Yes",20,"Credit Card","Every 3 Months"
258,20,"Male","Handbag","Accessories",53,"West Virginia","M","Red","Summer",-3,"Yes","Express","Yes","Yes",5,"Credit Card","Quarterly"
261,38,"Male","Hat","Accessories",57,"Montana","S","Red","Winter",3.2,"Yes","2-Day Shipping","Yes","Yes",11,"Credit Card","Every 3 Months"
263,37,"Male","Pants","Clothing",40,"Hawaii","M","Teal","Summer",3.7,"Yes","Next Day Air","Yes","Yes",6,"Debit Card","Annually"
264,27,"Male","Shorts","Clothing",46,"Iowa","M","Purple","Summer",4.3,"Yes","Store Pickup","Yes","Yes",29,"Venmo","Monthly"
271,33,"Male","Jeans","Clothing",52,"North Dakota","XL","Orange","Fall",4.6,"Yes","Free Shipping","Yes","Yes",16,"Bank Transfer","Annually"
272,65,"Male","Sunglasses","Accessories",69,"Maryland","XL","Yellow","Summer",4.6,"Yes","Express","Yes","Yes",42,"Credit Card","Fortnightly"
273,48,"Male","Jewelry","Accessories",26,"Oregon","M","Beige","Summer",4.4,"Yes","2-Day Shipping","Yes","Yes",37,"Debit Card","Bi-Weekly"
276,48,"Male","Backpack","Accessories",85,"Virginia","XL","Lavender","Winter",4,"Yes","Express","Yes","Yes",13,"Credit Card","Weekly"
277,25,"Male","Skirt","Clothing",30,"South Dakota","XL","Turquoise","Fall",3.5,"Yes","Express","Yes","Yes",11,"Bank Transfer","Fortnightly"
278,29,"Male","Shirt","Clothing",29,"Georgia","M","Green","Winter",3,"Yes","Store Pickup","Yes","Yes",36,"Bank Transfer","Bi-Weekly"
282,38,"Male","Belt","Accessories",61,"Oklahoma","XL","Charcoal","Spring",2.5,"Yes","Standard","Yes","Yes",22,"Debit Card","Bi-Weekly"
288,56,"Male","Scarf","Accessories",37,"Delaware","L","Blue","Spring",3.4,"Yes","2-Day Shipping","Yes","Yes",18,"Venmo","Fortnightly"
291,58,"Male","T-shirt","Clothing",33,"Colorado","M","Indigo","Winter",3.7,"Yes","Standard","Yes","Yes",50,"PayPal","Weekly"
292,57,"Male","Dress","Clothing",26,"Delaware","XL","Violet","Fall",3.3,"Yes","Next Day Air","Yes","Yes",40,"Bank Transfer","Monthly"
297,25,"Male","Sandals","Footwear",74,"Indiana","S","Lavender","Spring",4.8,"Yes","2-Day Shipping","Yes","Yes",19,"Credit Card","Weekly"
300,25,"Male","Sneakers","Footwear",80,"Pennsylvania","M","Maroon","Summer",3.2,"Yes","Next Day Air","Yes","Yes",28,"PayPal","Fortnightly"
301,29,"Male","Hat","Accessories",98,"Iowa","M","Teal","Spring",4.4,"Yes","Store Pickup","Yes","Yes",24,"PayPal","Weekly"
303,37,"Male","Sweater","Clothing",NA,"Delaware","L","Olive","Summer",3.6,"Yes","Express","Yes","Yes",27,"Bank Transfer","Every 3 Months"
304,20,"Male","Sandals","Footwear",60,"Oregon","M","Turquoise","Summer",3.3,"Yes","Next Day Air","Yes","Yes",49,"Venmo","Weekly"
313,38,"Male","Pants","Clothing",89,"Massachusetts","L","Green","Spring",3.4,"Yes","Next Day Air","Yes","Yes",6,"PayPal","Annually"
320,47,"Male","Shorts","Clothing",74,"Maine","XL","White","Spring",2.6,"Yes","Standard","Yes","Yes",1,"Cash","Every 3 Months"
321,66,"Male","Jewelry","Accessories",72,"Kansas","L","White","Summer",4.9,"Yes","Standard","Yes","Yes",28,"Debit Card","Quarterly"
322,41,"Male","Sneakers","Footwear",36,"Vermont","L","Orange","Summer",4.7,"Yes","Free Shipping","Yes","Yes",48,"Debit Card","Quarterly"
328,61,"Male","Coat","Outerwear",42,"Iowa","M","Teal","Summer",3.1,"Yes","Free Shipping","Yes","Yes",36,"PayPal","Weekly"
329,48,"Male","Coat","Outerwear",50,"Florida","M","Yellow","Fall",2.8,"Yes","Free Shipping","Yes","Yes",9,"Credit Card","Weekly"
330,70,"Male","Socks","Clothing",31,"Nevada","S","White","Summer",2.9,"Yes","2-Day Shipping","Yes","Yes",34,"Bank Transfer","Monthly"
334,39,"Male","Sweater","Clothing",64,"Alaska","M","Teal","Winter",4.5,"Yes","Standard","Yes","Yes",15,"Bank Transfer","Bi-Weekly"
337,36,"Male","Hat","Accessories",81,"Rhode Island","S","Orange","Fall",4.4,"Yes","Express","Yes","Yes",16,"PayPal","Annually"
343,64,"Male","Coat","Outerwear",36,"Kentucky","M","Olive","Spring",2.6,"Yes","Next Day Air","Yes","Yes",48,"Credit Card","Every 3 Months"
349,56,"Male","Blouse","Clothing",59,"South Carolina","M","Beige","Fall",2.7,"Yes","Free Shipping","Yes","Yes",17,"PayPal","Fortnightly"
350,37,"Male","Hat","Accessories",87,"Arizona","M","Green","Winter",3.7,"Yes","2-Day Shipping","Yes","Yes",3,"Bank Transfer","Bi-Weekly"
352,28,"Male","Skirt","Clothing",90,"New York","M","Teal","Winter",3.9,"Yes","Standard","Yes","Yes",24,"Debit Card","Bi-Weekly"
355,58,"Male","Jewelry","Accessories",76,"Pennsylvania","S","Olive","Fall",3,"Yes","Free Shipping","Yes","Yes",42,"Venmo","Weekly"
357,56,"Male","Pants","Clothing",80,"Nevada","L","Black","Spring",3.8,"Yes","Standard","Yes","Yes",27,"Cash","Weekly"
361,51,"Male","Pants","Clothing",30,"Rhode Island","M","Teal","Summer",3,"Yes","Standard","Yes","Yes",18,"Debit Card","Fortnightly"
362,65,"Male","T-shirt","Clothing",96,"Nevada","M","White","Spring",2.6,"Yes","Free Shipping","Yes","Yes",45,"Cash","Annually"
371,59,"Male","Scarf","Accessories",34,"Oregon","M","Olive","Winter",3.4,"Yes","Express","Yes","Yes",13,"PayPal","Weekly"
373,24,"Male","Sweater","Clothing",85,"Pennsylvania","L","Orange","Summer",3.7,"Yes","Standard","Yes","Yes",7,"Debit Card","Weekly"
378,63,"Male","Scarf","Accessories",32,"Maine","M","Silver","Spring",4.1,"Yes","Standard","Yes","Yes",39,"Credit Card","Every 3 Months"
379,54,"Male","Dress","Clothing",62,"Nevada","L","Orange","Winter",4.9,"Yes","Next Day Air","Yes","Yes",23,"Credit Card","Monthly"
380,32,"Male","T-shirt","Clothing",29,"Montana","S","Magenta","Fall",4.7,"Yes","2-Day Shipping","Yes","Yes",46,"Debit Card","Bi-Weekly"
387,64,"Male","Jewelry","Accessories",39,"Louisiana","L","Brown","Spring",3.4,"Yes","Express","Yes","Yes",40,"PayPal","Quarterly"
394,33,"Male","Shoes","Footwear",65,"Vermont","L","Maroon","Fall",4.2,"Yes","Standard","Yes","Yes",6,"PayPal","Fortnightly"
395,43,"Male","Scarf","Accessories",29,"North Dakota","M","Beige","Spring",4.8,"Yes","Store Pickup","Yes","Yes",7,"Debit Card","Bi-Weekly"
396,37,"Male","Sneakers","Footwear",65,"Rhode Island","L","Brown","Winter",4.9,"Yes","Store Pickup","Yes","Yes",2,"PayPal","Annually"
397,46,"Male","Dress","Clothing",88,"South Carolina","S","Black","Fall",3.9,"Yes","Standard","Yes","Yes",24,"Bank Transfer","Annually"
398,22,"Male","Belt","Accessories",46,"Mississippi","M","Indigo","Fall",3,"Yes","Free Shipping","Yes","Yes",26,"Cash","Annually"
402,43,"Male","T-shirt","Clothing",91,"Oklahoma","L","Orange","Fall",4.8,"Yes","Standard","Yes","Yes",21,"Cash","Quarterly"
404,19,"Male","Sneakers","Footwear",45,"Nevada","M","Orange","Winter",4.5,"Yes","Next Day Air","Yes","Yes",12,"Bank Transfer","Annually"
408,45,"Male","Hoodie","Clothing",76,"North Carolina","XL","Teal","Spring",3.1,"Yes","Next Day Air","Yes","Yes",5,"Credit Card","Bi-Weekly"
410,35,"Male","Shorts","Clothing",51,"Minnesota","M","Brown","Winter",3.3,"Yes","2-Day Shipping","Yes","Yes",32,"Bank Transfer","Monthly"
412,59,"Male","Jeans","Clothing",29,"Michigan","M","Indigo","Summer",2.8,"Yes","Express","Yes","Yes",15,"PayPal","Annually"
413,24,"Male","Jacket","Outerwear",74,"Maine","M","Yellow","Summer",3.1,"Yes","Store Pickup","Yes","Yes",3,"Bank Transfer","Weekly"
415,29,"Male","Backpack","Accessories",88,"Wyoming","L","Violet","Winter",2.6,"Yes","Store Pickup","Yes","Yes",30,"Debit Card","Weekly"
417,36,"Male","Belt","Accessories",55,"Oregon","L","Olive","Spring",3.8,"Yes","Free Shipping","Yes","Yes",24,"Bank Transfer","Fortnightly"
419,18,"Male","Sweater","Clothing",73,"Illinois","L","Purple","Spring",3,"Yes","Standard","Yes","Yes",27,"Venmo","Bi-Weekly"
420,53,"Male","Shorts","Clothing",91,"Utah","S","Teal","Winter",3.5,"Yes","Free Shipping","Yes","Yes",14,"Credit Card","Every 3 Months"
421,32,"Male","Socks","Clothing",54,"North Carolina","S","Peach","Spring",3.8,"Yes","Free Shipping","Yes","Yes",18,"Debit Card","Bi-Weekly"
422,38,"Male","Shirt","Clothing",40,"Kentucky","M","Violet","Winter",3.5,"Yes","Standard","Yes","Yes",48,"Cash","Bi-Weekly"
425,66,"Male","Sweater","Clothing",23,"Illinois","M","Gold","Winter",4.3,"Yes","Standard","Yes","Yes",42,"PayPal","Fortnightly"
432,43,"Male","Hat","Accessories",76,"New Hampshire","L","Cyan","Winter",3.4,"Yes","Store Pickup","Yes","Yes",33,"Cash","Fortnightly"
434,49,"Male","Skirt","Clothing",92,"Alabama","M","Orange","Fall",3.2,"Yes","Store Pickup","Yes","Yes",23,"Credit Card","Fortnightly"
435,50,"Male","Shoes","Footwear",52,"Oklahoma","L","Pink","Spring",4,"Yes","Store Pickup","Yes","Yes",39,"PayPal","Every 3 Months"
440,62,"Male","Jacket","Outerwear",50,"Idaho","M","Turquoise","Summer",3.4,"Yes","Free Shipping","Yes","Yes",31,"Cash","Monthly"
444,22,"Male","Sunglasses","Accessories",67,"Hawaii","M","Magenta","Summer",3.6,"Yes","Free Shipping","Yes","Yes",24,"PayPal","Annually"
446,42,"Male","Boots","Footwear",29,"Iowa","M","Olive","Fall",4.9,"Yes","Standard","Yes","Yes",18,"Venmo","Annually"
447,19,"Male","Shirt","Clothing",74,"West Virginia","M","Silver","Summer",4.1,"Yes","Store Pickup","Yes","Yes",15,"Venmo","Monthly"
457,50,"Male","Blouse","Clothing",96,"North Carolina","S","Indigo","Fall",4,"Yes","2-Day Shipping","Yes","Yes",33,"Credit Card","Quarterly"
458,25,"Male","Gloves","Accessories",99,"Rhode Island","M","Blue","Spring",4.9,"Yes","Next Day Air","Yes","Yes",48,"Debit Card","Every 3 Months"
467,38,"Male","Jeans","Clothing",24,"Vermont","L","Turquoise","Winter",4.6,"Yes","Free Shipping","Yes","Yes",25,"PayPal","Weekly"
470,21,"Male","Shorts","Clothing",46,"Alabama","L","Pink","Fall",4.1,"Yes","2-Day Shipping","Yes","Yes",30,"Debit Card","Bi-Weekly"
471,50,"Male","Dress","Clothing",63,"Minnesota","L","Teal","Summer",4.6,"Yes","Express","Yes","Yes",6,"Cash","Every 3 Months"
473,20,"Male","Jeans","Clothing",39,"Georgia","L","Gray","Winter",3.9,"Yes","Free Shipping","Yes","Yes",3,"Bank Transfer","Quarterly"
478,42,"Male","Sweater","Clothing",56,"North Dakota","M","Green","Summer",3.7,"Yes","Free Shipping","Yes","Yes",49,"Debit Card","Weekly"
479,35,"Male","Jewelry","Accessories",43,"Kansas","XL","Turquoise","Winter",3.2,"Yes","Free Shipping","Yes","Yes",48,"Venmo","Annually"
487,38,"Male","Sandals","Footwear",63,"New Mexico","M","Charcoal","Fall",2.8,"Yes","Store Pickup","Yes","Yes",37,"Venmo","Every 3 Months"
491,57,"Male","Sneakers","Footwear",42,"Colorado","M","Silver","Winter",4.2,"Yes","2-Day Shipping","Yes","Yes",47,"Cash","Monthly"
492,49,"Male","Coat","Outerwear",69,"Vermont","M","Silver","Summer",3.7,"Yes","2-Day Shipping","Yes","Yes",24,"Credit Card","Bi-Weekly"
495,38,"Male","Boots","Footwear",68,"Indiana","M","Indigo","Winter",4.5,"Yes","Express","Yes","Yes",42,"Debit Card","Weekly"
497,30,"Male","Dress","Clothing",63,"California","S","Maroon","Fall",3.3,"Yes","Express","Yes","Yes",31,"Venmo","Fortnightly"
503,59,"Male","Pants","Clothing",30,"South Carolina","S","Cyan","Fall",2.8,"Yes","Express","Yes","Yes",8,"PayPal","Fortnightly"
504,55,"Male","Shoes","Footwear",24,"West Virginia","M","Lavender","Summer",3.2,"Yes","Next Day Air","Yes","Yes",26,"Bank Transfer","Quarterly"
505,42,"Male","Shoes","Footwear",22,"Missouri","M","Maroon","Winter",3.9,"Yes","Free Shipping","Yes","Yes",26,"PayPal","Annually"
509,27,"Male","Jewelry","Accessories",20,"Illinois","S","Yellow","Winter",3.7,"Yes","Store Pickup","Yes","Yes",31,"PayPal","Quarterly"
510,41,"Male","T-shirt","Clothing",80,"Delaware","L","Cyan","Summer",3.9,"Yes","Free Shipping","Yes","Yes",17,"Debit Card","Weekly"
519,24,"Male","Blouse","Clothing",100,"Oregon","M","Beige","Fall",2.9,"Yes","Next Day Air","Yes","Yes",16,"Venmo","Every 3 Months"
521,51,"Male","Sunglasses","Accessories",84,"South Carolina","M","White","Spring",3.9,"Yes","Free Shipping","Yes","Yes",20,"Debit Card","Quarterly"
526,51,"Male","Coat","Outerwear",37,"Iowa","M","Cyan","Spring",3.2,"Yes","Next Day Air","Yes","Yes",41,"Debit Card","Monthly"
528,21,"Male","T-shirt","Clothing",23,"South Carolina","L","Yellow","Winter",4.3,"Yes","Next Day Air","Yes","Yes",47,"Bank Transfer","Every 3 Months"
533,26,"Male","Pants","Clothing",76,"Texas","L","Black","Winter",4.1,"Yes","Express","Yes","Yes",35,"Bank Transfer","Every 3 Months"
539,27,"Male","Socks","Clothing",22,"Virginia","XL","Green","Spring",3.2,"Yes","Free Shipping","Yes","Yes",43,"Cash","Weekly"
543,27,"Male","Boots","Footwear",79,"Illinois","XL","Teal","Spring",4.6,"Yes","Next Day Air","Yes","Yes",35,"Cash","Bi-Weekly"
544,53,"Male","Skirt","Clothing",98,"Alabama","S","Red","Spring",4.3,"Yes","Express","Yes","Yes",11,"Credit Card","Monthly"
549,36,"Male","Backpack","Accessories",64,"Nebraska","M","Black","Winter",4.6,"Yes","Store Pickup","Yes","Yes",41,"Debit Card","Every 3 Months"
554,63,"Male","Sunglasses","Accessories",59,"Florida","M","White","Winter",3.2,"Yes","Express","Yes","Yes",15,"Credit Card","Quarterly"
561,25,"Male","Jewelry","Accessories",48,"Louisiana","L","Red","Fall",3.3,"Yes","Free Shipping","Yes","Yes",12,"Debit Card","Annually"
